    Step    Atoms         KinEng            CPU 
       0        0              0              0 
INFO: Particle insertion ins: inserted 75 particle templates (mass 2.968805e-07) at step 1
 - a total of 75 particle templates (mass 2.968805e-07) inserted so far.
  900000      148  6.7672463e-10      633.97792 
  910000      148  5.5838486e-10      641.22565 
  920000      148  6.8669997e-10      648.53857 
  930000      148  1.0972273e-09      656.82209 
  940000      148  1.2005321e-09      664.40462 
  950000      148  1.4440746e-09      672.17182 
  960000      148   2.913252e-09       680.0755 
  970000      148  1.8848664e-09      688.15422 
  980000      147  4.2895874e-10      696.45264 
  990000      147  5.8480893e-10      703.75299 
 1000000      147   4.091274e-10      711.21636 
INFO: Particle insertion ins: inserted 75 particle templates (mass 2.968805e-07) at step 1000001
 - a total of 225 particle templates (mass 8.906415e-07) inserted so far.
 1010000      222  5.7793137e-10      718.59116 
 1020000      222  7.3992009e-10      726.00335 
 1030000      222  8.4927143e-10      733.43956 
 1040000      222  3.9194865e-10      740.87134 
 1050000      222  5.9431495e-10      748.24373 
 1060000      222  7.9972585e-10      755.65654 
 1070000      222  9.2998281e-10      763.10975 
 1080000      222  8.1577722e-10      770.53016 
 1090000      222   8.804735e-10      777.96084 
 1100000      222  6.1408516e-10      786.25741 
 1110000      222  7.6206652e-10       793.6558 
 1120000      222  1.5045069e-09      801.48317 
 1130000      222   8.360443e-10      809.01956 
 1140000      222  1.2326975e-09        816.422 
 1150000      222  1.4256659e-09      823.90663 
 1160000      222  1.8970623e-09      831.52656 
 1170000      222  8.4233835e-10      839.22723 
 1180000      222   7.693399e-10      846.79384 
 1190000      222  6.0364289e-10      854.32929 
 1200000      222  7.9565693e-10      861.98904 
 1210000      222  6.3014286e-10      869.49782 
 1220000      222  9.2791475e-10      877.79263 
 1230000      222  7.0298232e-10      885.34592 
 1240000      222  4.5555989e-10      892.93519 
 1250000      222  5.1424934e-10      900.53058 
 1260000      222  6.8013587e-10      908.14661 
 1270000      222  6.3181692e-10      916.11493 
 1280000      222  5.2182183e-10      924.24381 
 1290000      222  1.7859422e-09      931.90488 
 1300000      222    7.01046e-10      939.53715 
 1310000      222  7.6041842e-10      947.22327 
 1320000      222  8.3539859e-10      955.08276 
 1330000      222  6.5172673e-10       962.8041 
 1340000      222  5.0331181e-09      971.85962 
 1350000      222  4.5071945e-09      981.29626 
 1360000      222  4.0792873e-09      990.60411 
 1370000      222  3.5083857e-09       999.8154 
 1380000      221   4.677372e-10      1008.4714 
 1390000      221  2.5613576e-10      1016.2777 
 1400000      221  3.0280297e-10      1024.1276 
 1410000      221  3.4415498e-10      1032.0353 
 1420000      221  5.2986249e-10       1040.303 
 1430000      221  5.6868414e-10      1048.4836 
 1440000      221  4.6631664e-10       1057.545 
 1450000      221  2.9811737e-10      1065.9156 
 1460000      221  5.3736789e-10      1073.7431 
 1470000      221  4.0616053e-10      1081.6089 
 1480000      221  5.1243284e-10      1089.5138 
 1490000      221  4.8462933e-10      1097.3637 
 1500000      221  1.6529016e-09        1105.33 
INFO: Particle insertion ins: inserted 75 particle templates (mass 2.968805e-07) at step 1500001
 - a total of 300 particle templates (mass 1.187522e-06) inserted so far.
 1510000      296  3.7447313e-09      1113.5299 
 1520000      296  2.9068646e-09      1122.4512 
 1530000      296  1.7380581e-09      1130.9892 
 1540000      296  1.6480014e-09      1139.4004 
 1550000      296  1.3332604e-09      1147.7403 
 1560000      296  1.6140227e-09      1156.1298 
 1570000      296  2.3149974e-09      1164.4634 
 1580000      296  1.1313082e-09      1172.7538 
 1590000      296  3.3624177e-09      1183.1219 
 1600000      296  2.8289548e-09      1193.7518 
 1610000      296  2.6494628e-09      1203.0459 
 1620000      296  2.1491243e-09      1212.2009 
 1630000      296  2.1075848e-09      1221.2871 
 1640000      296  2.8094774e-09      1230.2835 
 1650000      296  2.1404902e-09       1239.903 
 1660000      296  1.8320712e-09       1248.758 
 1670000      296  1.9490946e-09      1257.5946 
 1680000      296  2.3361142e-09      1266.4506 
 1690000      295  1.9293504e-09      1275.5097 
 1700000      295  4.2356183e-09      1284.7305 
 1710000      294  9.0770006e-10      1293.9024 
 1720000      294  7.0295822e-10       1302.558 
 1730000      294  5.1886928e-09      1311.2536 
 1740000      294   1.162538e-09       1321.247 
 1750000      294  5.9532747e-10      1329.9044 
 1760000      294  3.9096805e-09      1338.4552 
 1770000      294  1.1071271e-09      1347.0595 
 1780000      294  1.8746085e-08      1358.7233 
 1790000      294  1.8169074e-08      1371.0199 
 1800000      293    7.18009e-10      1380.4605 
 1810000      293  2.2641986e-09       1389.029 
 1820000      293  6.4765857e-10      1397.5437 
 1830000      293  1.4261202e-09      1406.0481 
 1840000      293  8.5876451e-10      1415.0637 
 1850000      293  1.2398484e-09      1424.3069 
 1860000      293  1.4015645e-09      1433.2658 
 1870000      293  1.0944504e-09      1442.4707 
 1880000      293  1.0055408e-09       1451.663 
 1890000      293  9.8905093e-10      1460.4536 
 1900000      293  5.1837425e-10      1469.1431 
 1910000      293  9.7348071e-10      1477.8962 
 1920000      293  5.1688592e-10       1487.098 
 1930000      293  2.4574216e-09      1495.7098 
 1940000      293  4.4519746e-10      1504.3195 
 1950000      293  5.8867197e-10      1512.8875 
 1960000      293  1.4210233e-09      1521.4802 
 1970000      293  4.9352144e-10      1530.1527 
 1980000      293  6.5189433e-10      1538.7471 
 1990000      293  1.6695614e-09      1548.1467 
 2000000      293  1.7104763e-09      1557.7521 
INFO: Particle insertion ins: inserted 75 particle templates (mass 2.968805e-07) at step 2000001
 - a total of 375 particle templates (mass 1.484403e-06) inserted so far.
 2010000      368  1.0515332e-09      1566.8893 
 2020000      368  1.0545112e-09       1576.832 
 2030000      368  1.3970142e-09      1585.8524 
 2040000      368  1.1118751e-09      1594.7781 
 2050000      368  1.1017868e-09      1604.4409 
 2060000      368  1.1928388e-09      1613.4476 
 2070000      368  8.1509665e-10      1622.4251 
 2080000      368  1.5103247e-09       1631.585 
 2090000      368  8.6018867e-10        1640.62 
 2100000      368  5.7152565e-10      1649.6591 
 2110000      368  7.1061655e-10      1658.5789 
 2120000      368  8.6763307e-10      1667.5899 
 2130000      368   1.280311e-09      1676.6583 
 2140000      368  8.6091282e-10      1685.8532 
 2150000      368  7.3000688e-10      1694.9819 
 2160000      368  1.0009902e-09      1705.1237 
 2170000      368  1.0625423e-09      1714.2664 
 2180000      368  7.7114103e-10      1723.3837 
 2190000      368  8.6116295e-10       1732.605 
 2200000      368  6.6556202e-10      1741.9058 
 2210000      368  6.7050758e-10      1751.1283 
 2220000      368  5.0641286e-10      1760.3377 
 2230000      368  6.8950044e-10      1769.6623 
 2240000      368  4.3233926e-10      1779.6602 
 2250000      368  7.5460568e-10      1788.8873 
 2260000      368  4.6924866e-10      1798.2464 
 2270000      368  7.6064523e-10      1807.6068 
 2280000      368  4.9810501e-10      1816.9752 
 2290000      368   7.117227e-10       1826.258 
 2300000      368  9.6450476e-10      1835.6698 
 2310000      368  6.7163798e-10       1845.329 
 2320000      368  6.5544163e-10      1855.2142 
 2330000      368  8.1222957e-10      1864.5739 
 2340000      368  5.8683369e-10      1873.8898 
 2350000      368  4.6619423e-10      1883.1576 
 2360000      368  8.9961784e-10      1892.4188 
 2370000      368  6.8659899e-10      1901.6495 
 2380000      368  5.5781481e-10      1910.9162 
 2390000      368   3.740833e-10      1920.2143 
 2400000      368  4.3135841e-10      1929.5972 
 2410000      368  3.7521308e-10      1938.9689 
 2420000      368  3.5069233e-10      1948.2505 
 2430000      368  4.8066227e-10      1958.2808 
 2440000      368  5.3150124e-10      1967.6624 
 2450000      368  6.1412445e-10       1977.848 
 2460000      368  4.2361324e-10      1987.4247 
 2470000      368  5.9946051e-10      1996.8035 
 2480000      368  7.4037982e-10      2006.2643 
 2490000      368    6.71673e-10      2015.6864 
 2500000      368  8.2679357e-10      2025.1046 
INFO: Particle insertion ins: inserted 75 particle templates (mass 2.968805e-07) at step 2500001
 - a total of 450 particle templates (mass 1.781283e-06) inserted so far.
 2510000      443  2.9079256e-09      2035.1171 
 2520000      443  1.4637143e-09      2045.5192 
 2530000      443  1.5260262e-09      2055.4348 
 2540000      443  1.0427436e-09      2065.2856 
 2550000      443  1.0323114e-09      2074.9802 
 2560000      443  5.9293221e-10       2084.615 
 2570000      443  5.5006555e-10      2094.2119 
 2580000      443  8.4206743e-10      2103.8123 
 2590000      443  6.1973552e-10      2114.4583 
 2600000      443  7.6742669e-10      2124.3257 
 2610000      443  8.9514229e-10      2134.0477 
 2620000      443    6.89726e-10      2144.4939 
