t,in_mass_flow,out_mass_flow
1.315,2.93215314335025e-05,0
1.32,0,0
1.325,0,0
1.33,2.93215314335025e-05,0
1.335,0,0
1.34,0,0
1.345,0,0
1.35,0,0
1.355,2.93215314335025e-05,0
1.36,0,0
1.365,5.8643062867005e-05,0
1.37,2.93215314335025e-05,0
1.375,5.8643062867005e-05,0
1.38,2.93215314335025e-05,0
1.385,0,0
1.39,0,0
1.395,0,0
1.4,0,0
1.405,0,0
1.41,0,0
1.415,2.93215314335025e-05,0
1.42,2.93215314335025e-05,0
1.425,2.93215314335025e-05,0
1.43,0,0
1.435,0,0
1.44,0,0
1.445,0,0
1.45,2.93215314335025e-05,0
1.455,2.93215314335025e-05,0
1.46,0,0
1.465,0,0
1.47,0,0
1.475,0,0
1.48,0,0
1.485,2.93215314335025e-05,0
1.49,0,0
1.495,5.8643062867005e-05,0
1.5,0,0
1.505,8.79645943005075e-05,0
1.51,0,0
1.515,0,0
1.52,5.8643062867005e-05,0
1.525,8.79645943005075e-05,0
1.53,8.79645943005075e-05,0
1.535,0,0
1.54,2.93215314335025e-05,0
1.545,5.8643062867005e-05,0
1.55,0,0
1.555,2.93215314335025e-05,0
1.56,5.8643062867005e-05,0
1.565,8.79645943005075e-05,0
1.57,2.93215314335025e-05,0
1.575,2.93215314335025e-05,0
1.58,0,0
1.585,8.79645943005075e-05,0
1.59,0,0
1.595,0,0
1.6,2.93215314335025e-05,0
1.605,0,0
1.61,8.79645943005075e-05,0
1.615,5.8643062867005e-05,0
1.62,0.00011728612573401,0
1.625,2.93215314335025e-05,0
1.63,5.8643062867005e-05,0
1.635,5.8643062867005e-05,0
1.64,0,0
1.645,5.86430628670057e-05,0
1.65,0.000117286125734013,0
1.655,5.86430628670064e-05,0
1.66,0,0
1.665,0,0
1.67,0,0
1.675,0,0
1.68,0,0
1.685,0,0
1.69,2.93215314335032e-05,0
1.695,0,0
1.7,0,0
1.705,0,0
1.71,5.86430628670064e-05,0
1.715,8.79645943005096e-05,0
1.72,2.93215314335032e-05,0
1.725,0,0
1.73,2.93215314335032e-05,0
1.735,0,0
1.74,5.86430628670064e-05,0
1.745,0,0
1.75,8.79645943005096e-05,0
1.755,0,0
1.76,0,0
1.765,0,0
1.77,5.86430628670064e-05,0
1.775,2.93215314335032e-05,0
1.78,0,0
1.785,5.86430628670064e-05,0
1.79,0,0
1.795,0,0
1.8,0,0
1.805,5.86430628670064e-05,0
1.81,0,0
1.815,0,0
1.82,0,0
1.825,2.93215314335032e-05,0
1.83,0,0
1.835,0,0
1.84,2.93215314335032e-05,0
1.845,2.93215314335032e-05,0
1.85,0,0
1.855,0,0
1.86,2.93215314335032e-05,0
1.865,0,0
1.87,2.93215314335032e-05,0
1.875,0,0
1.88,0,0
1.885,2.93215314335032e-05,0
1.89,0,0
1.895,2.93215314335032e-05,0
1.9,2.93215314335032e-05,0
1.905,0,0
1.91,2.93215314335032e-05,0
1.915,8.79645943005096e-05,0
1.92,0,0
1.925,0,0
1.93,0,0
1.935,2.93215314335032e-05,0
1.94,0,0
1.945,0,0
1.95,5.86430628670064e-05,0
1.955,2.93215314335032e-05,0
1.96,0,0
1.965,2.93215314335032e-05,0
1.97,0,0
1.975,2.93215314335032e-05,0
1.98,0,0
1.985,0,0
1.99,0,0
1.995,0,0
2,0,0
2.005,2.93215314335032e-05,0
2.01,2.93215314335032e-05,0
2.015,2.93215314335032e-05,0
2.02,0,0
2.025,0,0
2.03,5.86430628670064e-05,0
2.035,0,0
2.04,0,0
2.045,0,0
2.05,0,0
2.055,2.93215314335032e-05,0
2.06,0,0
2.065,2.93215314335032e-05,0
2.07,8.79645943005096e-05,0
2.075,0,0
2.08,5.86430628670064e-05,0
2.085,2.93215314335032e-05,0
2.09,5.86430628670064e-05,0
2.095,2.93215314335032e-05,0
2.1,2.93215314335032e-05,0
2.105,8.79645943005096e-05,0
2.11,0.000117286125734013,0
2.115,5.86430628670064e-05,0
2.12,5.86430628670064e-05,0
2.125,2.93215314335032e-05,0
2.13,0,0
2.135,0,0
2.14,5.86430628670064e-05,0
2.145,0.000146607657167516,0
2.15,5.86430628670064e-05,0
2.155,8.79645943005096e-05,0
2.16,5.86430628670064e-05,0
2.165,5.86430628670064e-05,0
2.17,2.93215314335032e-05,0
2.175,8.79645943005096e-05,0
2.18,2.93215314335032e-05,0
2.185,5.86430628670064e-05,0
2.19,0,0
2.195,0,0
2.2,0,0
2.205,2.93215314335032e-05,0
2.21,2.93215314335032e-05,0
2.215,8.79645943005096e-05,0
2.22,0,0
2.225,2.93215314335032e-05,0
2.23,5.86430628670064e-05,0
2.235,0,0
2.24,5.86430628670064e-05,0
2.245,2.93215314335032e-05,0
2.25,5.86430628670064e-05,0
2.255,0,0
2.26,0,0
2.265,8.79645943005096e-05,0
2.27,0,0
2.275,0,0
2.28,2.93215314335032e-05,0
2.285,0,0
2.29,2.93215314335032e-05,0
2.295,5.86430628670064e-05,0
2.3,0,0
2.305,0,0
2.31,2.93215314335032e-05,0
2.315,2.93215314335032e-05,0
2.32,2.93215314335032e-05,0
2.325,8.79645943005096e-05,0
2.33,0,0
2.335,2.93215314335032e-05,0
2.34,2.93215314335032e-05,0
2.345,0,0
2.35,5.86430628670064e-05,0
2.355,0,0
2.36,2.93215314335032e-05,0
2.365,0,0
2.37,2.93215314335032e-05,0
2.375,0,0
2.38,2.93215314335032e-05,0
2.385,0,0
2.39,0,0
2.395,2.93215314335032e-05,0
2.4,8.79645943005096e-05,0
2.405,0,0
2.41,2.93215314335032e-05,0
2.415,0,0
2.42,2.93215314335032e-05,0
2.425,0,0
2.43,5.86430628670064e-05,0
2.435,5.86430628670064e-05,0
2.44,2.93215314335032e-05,0
2.445,5.86430628670064e-05,0
2.45,5.86430628670064e-05,0
2.455,0,0
2.46,0,0
2.465,0,0
2.47,2.93215314335032e-05,0
2.475,2.93215314335032e-05,0
2.48,2.93215314335032e-05,0
2.485,0,0
