t,in_mass_flow,out_mass_flow
0.575,5.86430628670057e-05,0
0.58,0,0
0.585,0,0
0.59,0,0
0.595,0,0
0.6,5.86430628670057e-05,0
0.605,0,0
0.61,5.86430628670057e-05,0
0.615,0,0
0.62,5.86430628670057e-05,0
0.625,0,0
0.63,0,0
0.635,2.93215314335029e-05,0
0.64,2.93215314335029e-05,0
0.645,0,0
0.65,0,0
0.655,0,0
0.66,2.93215314335029e-05,0
0.665,0,0
0.67,0,0
0.675,5.86430628670057e-05,0
0.68,0.000117286125734011,0
0.685,0,0
0.69,0,0
0.695,0,0
0.7,0,0
0.705,0,0
0.71,0,0
0.715,0,0
0.72,2.93215314335025e-05,0
0.725,2.93215314335025e-05,0
0.73,0,0
0.735,0,0
0.74,2.93215314335025e-05,0
0.745,2.93215314335025e-05,0
0.75,8.79645943005075e-05,0
0.755,2.93215314335025e-05,0
0.76,2.93215314335025e-05,0
0.765,2.93215314335025e-05,0
0.77,5.8643062867005e-05,0
0.775,2.93215314335025e-05,0
0.78,2.93215314335025e-05,0
0.785,5.8643062867005e-05,0
0.79,0,0
0.795,0,0
0.8,2.93215314335025e-05,0
0.805,0.00011728612573401,0
0.81,2.93215314335025e-05,0
0.815,2.93215314335025e-05,0
0.82,0,0
0.825,2.93215314335025e-05,0
0.83,5.8643062867005e-05,0
0.835,0,0
0.84,0,0
0.845,0,0
0.85,0,0
0.855,2.93215314335025e-05,0
0.86,5.8643062867005e-05,0
0.865,2.93215314335025e-05,0
0.87,2.93215314335025e-05,0
0.875,5.8643062867005e-05,0
0.88,2.93215314335025e-05,0
0.885,0,0
0.89,0,0
0.895,0,0
0.9,0,0
0.905,2.93215314335025e-05,0
0.91,2.93215314335025e-05,0
0.915,0,0
0.92,0,0
0.925,2.93215314335025e-05,0
0.93,2.93215314335025e-05,0
0.935,2.93215314335025e-05,0
0.94,0,0
0.945,0,0
0.95,2.93215314335025e-05,0
0.955,2.93215314335025e-05,0
0.96,2.93215314335025e-05,0
0.965,0,0
0.97,0,0
0.975,0,0
0.98,0,0
0.985,2.93215314335025e-05,0
0.99,0,0
0.995,2.93215314335025e-05,0
1,5.8643062867005e-05,0
1.005,5.8643062867005e-05,0
1.01,0,0
1.015,2.93215314335025e-05,0
1.02,2.93215314335025e-05,0
1.025,5.8643062867005e-05,0
1.03,0.00011728612573401,0
1.035,0,0
1.04,2.93215314335025e-05,0
1.045,2.93215314335025e-05,0
1.05,0,0
1.055,2.93215314335025e-05,0
1.06,2.93215314335025e-05,0
1.065,5.8643062867005e-05,0
1.07,0,0
1.075,0,0
1.08,2.93215314335025e-05,0
1.085,2.93215314335025e-05,0
1.09,0,0
1.095,0,0
1.1,0,0
1.105,2.93215314335025e-05,0
1.11,0,0
1.115,5.8643062867005e-05,0
1.12,0.00011728612573401,0
1.125,2.93215314335025e-05,0
1.13,0,0
1.135,0,0
1.14,0,0
1.145,8.79645943005075e-05,0
1.15,8.79645943005075e-05,0
1.155,2.93215314335025e-05,0
1.16,5.8643062867005e-05,0
1.165,0,0
1.17,0,0
1.175,2.93215314335025e-05,0
1.18,2.93215314335025e-05,0
1.185,0,0
1.19,2.93215314335025e-05,0
1.195,2.93215314335025e-05,0
1.2,2.93215314335025e-05,0
1.205,0,0
1.21,2.93215314335025e-05,0
1.215,0.000205250720034518,0
1.22,2.93215314335025e-05,0
1.225,0,0
1.23,2.93215314335025e-05,0
1.235,0,0
1.24,0,0
1.245,2.93215314335025e-05,0
1.25,0.00011728612573401,0
1.255,0,0
1.26,0,0
1.265,2.93215314335025e-05,0
1.27,2.93215314335032e-05,0
1.275,2.93215314335032e-05,0
1.28,0,0
1.285,5.86430628670064e-05,0
1.29,0,0
1.295,8.79645943005096e-05,0
1.3,0,0
1.305,5.86430628670064e-05,0
1.31,0,0
1.315,2.93215314335032e-05,0
1.32,2.93215314335032e-05,0
1.325,5.86430628670064e-05,0
1.33,0,0
1.335,0,0
1.34,2.93215314335032e-05,0
1.345,2.93215314335032e-05,0
1.35,0,0
1.355,0,0
1.36,2.93215314335032e-05,0
1.365,0,0
1.37,5.86430628670064e-05,0
1.375,0,0
1.38,0,0
1.385,0,0
1.39,0,0
1.395,2.93215314335032e-05,0
1.4,2.93215314335032e-05,0
1.405,2.93215314335032e-05,0
1.41,0,0
1.415,2.93215314335032e-05,0
1.42,0,0
1.425,2.93215314335032e-05,0
1.43,0,0
1.435,5.86430628670064e-05,0
1.44,0,0
1.445,0,0
1.45,5.86430628670064e-05,0
1.455,8.79645943005096e-05,0
1.46,0,0
1.465,2.93215314335032e-05,0
1.47,0,0
1.475,5.86430628670064e-05,0
1.48,0,0
1.485,0,0
1.49,2.93215314335032e-05,0
1.495,2.93215314335032e-05,0
